elevation,latitude,longitude,rainfall,pressure,soil_moisture,temperature,wind_speed,humidity,month,disaster_label
109.1929732,26.24925128,68,0.016561615,100881.3274,0.121050657,15.01658176,2.390465819,60.27172789,1,Flood
109.1929732,26.24925128,68,0.004602942,100752.3197,0.114194167,15.42699373,3.202759287,56.80185597,1,Flood
109.1929732,26.24925128,68,0.102402041,100545.9193,0.10837922,16.14407123,2.545168685,57.42233765,1,Flood
109.1929732,26.24925128,68,1.417323401,100431.6104,0.164241712,15.17651288,1.857984559,70.49700142,1,Flood
109.1929732,26.24925128,68,0.058505169,100229.5068,0.327211159,15.07810892,0.579040764,84.9490918,1,Flood
109.1929732,26.24925128,68,0.495588062,100190.6497,0.316230618,15.42683273,1.405642878,85.01278245,1,Flood
109.1929732,26.24925128,68,0.015212917,100223.1072,0.338370361,12.67137206,2.341025464,80.08952867,1,Flood
109.1929732,26.24925128,68,1.12e-05,100339.8561,0.296742214,13.39201547,0.09345925,72.19065931,1,Flood
109.1929732,26.24925128,68,0.000423504,100535.9482,0.274042716,13.10042072,0.666544361,75.05791648,1,Flood
109.1929732,26.24925128,68,0.0,100623.8689,0.25690644,14.01680974,0.624185753,70.5207182,1,Flood
109.1929732,26.24925128,68,0.0,100726.3533,0.241917055,13.52768821,1.521418111,71.99833843,1,Flood
109.1929732,26.24925128,68,0.0,100591.5283,0.228841604,14.12038805,0.121034112,66.30391018,1,Flood
109.1929732,26.24925128,68,0.0,100529.8843,0.216699737,14.17468706,0.769752708,64.15002873,1,Flood
109.1929732,26.24925128,68,0.0,100654.5598,0.204971739,13.85334201,2.003695935,69.77053687,1,Flood
109.1929732,26.24925128,68,0.0,100716.1579,0.194141249,14.01354019,2.367293348,71.54299491,1,Flood
109.1929732,26.24925128,68,0.043264987,100736.8615,0.183944348,14.61533684,2.608556805,68.27094184,1,Flood
109.1929732,26.24925128,68,0.000762498,100790.9514,0.173974278,15.46386834,2.158797998,67.9051537,1,Flood
109.1929732,26.24925128,68,0.036378569,100647.2887,0.165145641,15.7419097,1.376305658,68.50646909,1,Flood
109.1929732,26.24925128,68,0.054655982,100111.1798,0.157809546,17.17088456,0.776090092,67.68778123,1,Flood
109.1929732,26.24925128,68,0.00011288,99840.22143,0.150780897,17.66232875,0.327933903,73.60692335,1,Flood
109.1929732,26.24925128,68,0.0,99457.25048,0.144313117,17.97101129,1.522657904,70.51644462,1,Flood
109.1929732,26.24925128,68,0.0,99677.62485,0.13803634,13.89352635,2.835171436,46.96014667,1,Flood
109.1929732,26.24925128,68,0.0,99967.90337,0.132088217,13.2445385,0.741281658,47.08595271,1,Flood
109.1929732,26.24925128,68,0.0,100240.2425,0.127240261,13.6400604,0.984074316,51.56963432,1,Flood
109.1929732,26.24925128,68,0.0,100289.2392,0.123224376,14.23514845,0.510319861,52.60262508,1,Flood
109.1929732,26.24925128,68,6.04e-05,100396.6454,0.119498307,14.65701954,0.555800223,54.96182642,1,Flood
109.1929732,26.24925128,68,0.000178819,100484.1798,0.116035942,15.48296722,0.742452627,49.22845901,1,Flood
109.1929732,26.24925128,68,0.0,100391.9776,0.112493939,16.38484772,1.809475618,45.46632931,1,Flood
